round	host	arm	particles	repeat	segments	go_draw_p50_us	go_draw_p95_us	interpret_p50_us	interpret_p95_us	written_p50_bytes	raster_p50_us	raster_p90_us	tess_p50_us	raster_frames	tris
1	cpu	segments-mesh	0	1	0	0	0	757	1221	5724	2385	4198	115	480	3811
1	cpu	segments-tessellated	5000	1	43170	5065	6105	5627	6332	869314	38638	43159	6292	480	129671
1	cpu	line-per-segment	5000	1	43216	47128	62159	11516	14863	1389536	39520	49483	3029	480	126557
1	wgpu	segments-mesh	0	1	0	0	0	770	1142	5724	2838	3410	115	480	3811
1	wgpu	segments-tessellated	5000	1	43124	5098	7100	6805	8693	868473	3686	4378	7713	540	124571
1	wgpu	line-per-segment	5000	1	43145	41683	51329	9559	11584	1386883	3601	4047	2863	480	128855
2	cpu	segments-mesh	0	1	0	0	0	754	954	5724	3167	3621	116	480	3809
2	cpu	segments-tessellated	5000	1	43153	4964	5852	5607	6299	869194	38244	41194	6240	480	128941
2	cpu	line-per-segment	5000	1	43215	42944	51501	8885	11366	1389218	38296	41367	2848	480	129305
2	wgpu	segments-mesh	0	1	0	0	0	799	1044	5724	2894	3552	111	480	3811
2	wgpu	segments-tessellated	5000	1	43121	5247	6893	6934	8437	868373	3459	3938	7932	540	125771
2	wgpu	line-per-segment	5000	1	43167	43956	52623	10218	13611	1387683	3363	4095	2917	480	129109
1	cpu	segments-mesh	5000	1	43119	3572	4475	5807	7310	868461	13723	15645	3025	540	89787
1	cpu	segments-mesh	20000	1	172880	24073	34507	22509	29964	3463821	52796	63358	12621	480	350469
1	wgpu	segments-mesh	5000	1	43122	4687	10454	7717	13785	868503	3584	5204	3778	540	89933
1	wgpu	segments-mesh	20000	1	172919	20108	35595	19932	28667	3464984	5289	6867	12396	480	347929
2	cpu	segments-mesh	5000	1	43120	4288	5513	6427	7830	868543	14554	17107	3191	540	89929
2	cpu	segments-mesh	20000	1	172891	23443	37825	23004	32056	3464202	50720	59301	12291	480	351261
2	wgpu	segments-mesh	5000	1	43123	5000	6639	7726	9640	868503	3187	3940	3920	540	89873
2	wgpu	segments-mesh	20000	1	172888	18349	31497	21989	30425	3464844	5280	6226	12109	480	349349
