host	arm	particles	repeat	segments	go_draw_p50_us	go_draw_p95_us	interpret_p50_us	interpret_p95_us	written_p50_bytes	raster_p50_us	raster_p90_us	tess_p50_us	raster_frames	tris
cpu	segments-mesh	0	1	0	0	0	755	1017	5724	3103	3460	113	480	3811
cpu	segments-mesh	1000	1	8653	1928	2310	1854	2365	179083	5432	6382	272	540	20965
cpu	segments-mesh	2500	1	21556	5037	6081	3314	3679	437322	11574	12528	532	540	46693
cpu	segments-mesh	5000	1	43118	6151	6747	5649	6401	868461	13520	15434	2949	540	89589
cpu	segments-mesh	10000	1	86464	13380	14347	9878	11723	1733903	25398	29253	5108	480	176481
cpu	segments-mesh	20000	1	172900	27799	29849	11753	13241	3464185	49148	54445	2955	480	349555
cpu	segments-tessellated	1000	1	8653	1910	2341	2172	2518	179094	13804	15796	962	540	30689
cpu	segments-tessellated	2500	1	21553	3117	3615	2639	3019	437332	19798	21156	1347	540	64881
cpu	segments-tessellated	5000	1	43174	7302	7875	5313	5775	869711	37737	40036	6481	480	130631
cpu	segments-tessellated	10000	1	86407	15674	16779	9882	10461	1734231	73249	76393	11946	480	251665
cpu	segments-tessellated	20000	1	172840	30945	33290	16917	19254	3463392	146049	150041	10990	480	501993
cpu	line-per-segment	1000	1	8653	10020	12406	2478	3346	283042	10520	11587	697	540	30657
cpu	line-per-segment	2500	1	21640	21935	26398	4731	6112	698242	19886	20933	1293	480	64139
cpu	line-per-segment	5000	1	43211	43771	54542	8587	11205	1389282	37757	39644	2826	480	126805
cpu	line-per-segment	10000	1	86396	86495	96756	18249	23208	2770495	73588	76657	5358	480	254673
cpu	line-per-segment	20000	1	172840	173154	186756	32325	36450	5538303	146424	150083	10717	420	631843
wgpu	segments-mesh	0	1	0	0	0	792	1072	5724	3002	3499	116	480	3811
wgpu	segments-mesh	1000	1	8652	1908	2281	1840	2283	179182	3027	3441	274	540	20975
wgpu	segments-mesh	2500	1	21557	5074	5736	3410	3996	437322	3174	3565	551	540	46657
wgpu	segments-mesh	5000	1	43122	10391	11656	9004	10021	868461	3464	3758	4371	540	89943
wgpu	segments-mesh	10000	1	86423	13547	16343	11934	13943	1732404	4006	4326	6218	540	176825
wgpu	segments-mesh	20000	1	172868	26477	28762	21487	22962	3464285	5198	5728	11685	480	349497
wgpu	segments-tessellated	1000	1	8654	1911	2219	2231	2591	179094	2982	3460	960	540	30689
wgpu	segments-tessellated	2500	1	21556	4975	5476	4090	4550	437332	3160	3475	2126	540	64021
wgpu	segments-tessellated	5000	1	43118	9097	10595	6810	7788	868473	3449	3794	8134	540	124105
wgpu	segments-tessellated	10000	1	86441	13484	15211	10042	11046	1733336	4084	4418	11622	480	253139
wgpu	segments-tessellated	20000	1	172836	26482	34474	17044	20539	3463956	5444	6149	11099	480	486821
wgpu	line-per-segment	1000	1	8654	14075	17886	3581	4647	283010	2985	3337	956	540	30687
wgpu	line-per-segment	2500	1	21561	23054	29811	5858	7332	696578	3168	4158	1400	540	67359
wgpu	line-per-segment	5000	1	43161	44252	56570	10200	14340	1387297	3404	3896	2936	480	131069
wgpu	line-per-segment	10000	1	86403	91310	114125	19860	27190	2771040	4143	4763	5789	480	252373
wgpu	line-per-segment	20000	1	172841	192776	236148	39032	46113	5538560	5511	6798	11387	480	499861
