governor	round	host	arm	particles	repeat	segments	go_draw_p50_us	go_draw_p95_us	interpret_p50_us	interpret_p95_us	written_p50_bytes	raster_p50_us	raster_p90_us	tess_p50_us	raster_frames	tris
performance	1	cpu	segments-mesh	0	1	0	0	0	667	1152	5724	2364	3262	113	480	3811
performance	1	cpu	line-per-segment	5000	1	43223	56193	69221	11293	15024	1389568	42442	49690	3657	480	123909
performance	1	wgpu	segments-mesh	0	1	0	0	0	788	1320	5724	1879	3585	123	480	3811
performance	1	wgpu	line-per-segment	5000	1	43225	51950	60774	11353	14886	1389218	4101	9625	3468	480	123119
performance	1	cpu	segments-mesh	5000	1	43118	7203	9620	6447	8145	868443	14626	17663	3552	540	88499
performance	1	cpu	segments-mesh	20000	1	172880	34932	39912	24910	28625	3464460	54879	64917	13582	480	349761
performance	1	wgpu	segments-mesh	5000	1	43122	6490	8580	6194	8005	868361	3041	4362	3098	540	89689
performance	1	wgpu	segments-mesh	20000	1	172858	32677	48583	25881	35603	3463863	6037	12849	14481	480	351315
performance	2	cpu	segments-mesh	0	1	0	0	0	590	1052	5724	2127	2994	98	480	3811
performance	2	cpu	line-per-segment	5000	1	43222	53336	61257	12888	16174	1389792	43397	49624	3814	480	126079
performance	2	wgpu	segments-mesh	0	1	0	0	0	602	842	5724	2827	3231	91	480	3809
performance	2	wgpu	line-per-segment	5000	1	43188	48556	55352	10721	12314	1388289	3686	4680	3079	480	125139
performance	2	cpu	segments-mesh	5000	1	43099	8162	13802	7071	11724	867783	16330	21843	3597	540	89851
performance	2	cpu	segments-mesh	20000	1	172873	37187	53061	26518	35951	3464200	57498	71158	14237	480	350709
performance	2	wgpu	segments-mesh	5000	1	43122	6740	8700	6666	8847	868361	3490	4997	3689	540	89689
performance	2	wgpu	segments-mesh	20000	1	172864	30836	41139	24920	30576	3464204	5605	7760	13899	480	349887
powersave	1	cpu	segments-mesh	0	1	0	0	0	735	1662	5724	2424	3901	114	480	3811
powersave	1	cpu	line-per-segment	5000	1	43226	51938	62945	11472	14332	1389952	42390	47942	3475	480	125889
powersave	1	wgpu	segments-mesh	0	1	0	0	0	590	980	5724	2810	3194	93	480	3809
powersave	1	wgpu	line-per-segment	5000	1	43213	48488	56498	11081	14385	1388770	3762	6359	3188	480	120679
powersave	1	cpu	segments-mesh	5000	1	43126	7317	9405	6527	8447	868543	14763	17736	3396	540	88363
powersave	1	cpu	segments-mesh	20000	1	172884	35100	44082	24626	30107	3463941	55286	63437	13303	480	348043
powersave	1	wgpu	segments-mesh	5000	1	43123	6360	7611	4722	6957	868503	3525	4348	1053	540	89689
powersave	1	wgpu	segments-mesh	20000	1	172816	27588	34461	13403	16863	3465064	5603	8049	3640	480	349897
powersave	2	cpu	segments-mesh	0	1	0	0	0	591	897	5724	2215	2822	99	480	3809
powersave	2	cpu	line-per-segment	5000	1	43216	49350	57235	10569	12484	1389442	40843	45680	3088	480	127919
powersave	2	wgpu	segments-mesh	0	1	0	0	0	680	933	5724	3198	3790	110	480	3809
powersave	2	wgpu	line-per-segment	5000	1	43214	49698	58534	10950	12720	1388865	3678	4575	3173	480	120809
powersave	2	cpu	segments-mesh	5000	1	43125	7393	9409	6585	8880	868503	14767	17945	3510	540	88363
powersave	2	cpu	segments-mesh	20000	1	172882	33118	40181	23168	27962	3464201	54592	63219	13117	480	348935
powersave	2	wgpu	segments-mesh	5000	1	43121	6473	8085	6232	7516	868443	3549	4209	3205	540	89689
powersave	2	wgpu	segments-mesh	20000	1	172858	32220	41848	25551	31201	3464204	5846	11140	13638	480	350131
