query	j_hot_s	j_mem_mb	x_hot_s	x_mem_mb	x2_hot_s	x2_mem_mb	x_over_j	x2_over_j
Q1	0.044	166.9	0.007	11.2	0.023	8.3	0.16	0.52
Q2	0.433	592.2	1.059	14256.8	0.715	5167.0	2.45	1.65
Q3	0.115	140.4	0.747	11746.5	0.378	3755.7	6.50	3.29
Q4	0.295	449.2	1.132	18131.3	0.692	5135.6	3.84	2.35
Q5	0.285	473.4	1.120	17468.7	0.687	5106.0	3.93	2.41
U1	0.367	422.8	0.529	4846.1	0.745	4775.6	1.44	2.03
U2	0.697	962.9	0.838	4906.9	1.088	4707.7	1.20	1.56
U3	0.189	144.3	0.127	32.4	0.178	0.5	0.67	0.94
U4	0.197	402.2	0.004	3.8	0.015	4.0	0.02	0.08
U5	0.015	24.2	0.012	17.7	0.067	11.7	0.80	4.47
U6	0.015	15.7	0.001	0.1	0.001	0.1	0.07	0.07
U7	0.024	12.5	0.011	91.5	0.053	101.2	0.46	2.21
U8	0.014	9.4	0.062	678.9	0.127	597.2	4.43	9.07
U9	0.367	445.0	0.069	730.4	0.088	727.0	0.19	0.24
