query	j_s	j_mb	x_groupby_s	x_groupby_mb	x_join_s	x_join_mb	x_best_s	x_best_mb	x2_s	x2_mb	y_s	y_mb	xbest_over_j	y_over_xbest
Q1	0.044	167	0.008	11			0.008	11	0.023	8	0.007	10	0.18	0.88
Q2	0.433	592	0.990	13581	0.460	2605	0.460	2605	0.714	4982	0.468	2589	1.06	1.02
Q3	0.115	140	0.695	11758	0.252	1848	0.252	1848	0.369	3670	0.252	1837	2.19	1.00
Q4	0.295	449	1.039	17866	0.202	1251	0.202	1251	0.658	5008	0.202	1212	0.68	1.00
Q5	0.285	473	1.066	17468	0.204	1272	0.204	1272	0.657	4914	0.199	1211	0.72	0.98
U1	0.367	423	0.484	4786			0.484	4786	0.710	4662	0.605	5024	1.32	1.25
U2	0.697	963	0.806	4910			0.806	4910	1.041	4743	0.954	5093	1.16	1.18
U3	0.189	144	0.120	29			0.120	29	0.172	0	0.112	6	0.63	0.93
U4	0.197	402	0.005	4			0.005	4	0.016	4	0.006	3	0.03	1.20
U5	0.015	24	0.012	16			0.012	16	0.056	12	0.008	23	0.80	0.67
U6	0.015	16	0.001	0			0.001	0	0.001	0	0.002	0	0.07	2.00
U7	0.024	13	0.010	91			0.010	91	0.042	70	0.010	91	0.42	1.00
U8	0.014	9	0.060	654			0.060	654	0.112	598	0.041	603	4.29	0.68
U9	0.367	445	0.066	724			0.066	724	0.085	710	0.060	736	0.18	0.91
