query	ch-packed	ch-exploded	ch-exploded-join	duckdb-packed	duckdb-exploded	duckdb-exploded-join	datafusion-packed	datafusion-exploded	datafusion-exploded-join	ch_expl_best	duck_expl_best	df_expl_best
Q1	0.070	0.040	-	0.120	0.020	-	0.130	0.140	-	0.040	0.020	0.140
Q2	0.440	1.010	0.480	0.650	2.720	0.630	1.230	1.910	1.510	0.480	0.630	1.510
Q3	0.130	0.750	0.290	0.210	2.140	0.460	0.400	1.310	1.140	0.290	0.460	1.140
Q4	0.260	1.090	0.360	0.510	2.920	0.660	0.850	1.670	1.260	0.360	0.660	1.260
Q5	0.260	1.070	0.360	0.510	2.830	0.640	0.890	1.670	1.280	0.360	0.640	1.280
U1	0.360	0.590	-	1.180	1.150	-	0.680	2.190	-	0.590	1.150	2.190
U2	0.660	0.870	-	0.940	1.400	-	0.740	2.500	-	0.870	1.400	2.500
U3	0.160	0.150	-	0.270	0.010	-	0.440	0.010	-	0.150	0.010	0.010
U4	0.220	0.030	-	0.360	0.010	-	0.360	0.070	-	0.030	0.010	0.070
U5	0.040	0.040	-	0.030	0.020	-	0.050	0.110	-	0.040	0.020	0.110
U6	0.060	0.030	-	0.140	0.000	-	0.400	0.000	-	0.030	0.000	0.000
U7	0.050	0.040	-	0.070	0.030	-	0.110	0.030	-	0.040	0.030	0.030
U8	0.040	0.080	-	0.030	0.090	-	0.040	0.310	-	0.080	0.090	0.310
U9	0.400	0.100	-	0.560	0.090	-	0.750	0.660	-	0.100	0.090	0.660
