query	class	parquet_s	native_leeway_s	native_map_s
Q1	backbone (named path)	0.12	0.07	0.05
Q2	backbone (named path)	0.60	0.46	0.18
Q3	backbone (named path)	0.20	0.16	0.07
Q4	backbone (named path)	0.48	0.34	0.08
Q5	backbone (named path)	0.48	0.35	0.08
U7	tail (inference declined)	0.07	0.05	0.16
T1 record/$type	tail (inference declined)	0.12	0.07	0.20
T2 record/createdAt	tail (inference declined)	0.07	0.05	0.19
— Q1..Q5 total	backbone	1.88	1.38	0.46
— U7,T1,T2 total	tail	0.26	0.17	0.55
— storage GiB	(10M docs, no hash col)	1.14	2.46	2.54
