query	leeway_s	leeway_gib	ntext_s	ntext_gib	nstruct_s	ntext/leeway	nstruct/leeway
Q1	0.120	0.14	0.560	4.98	0.050	5x	0.42x
Q2	0.650	1.13	1.480	6.01	0.200	2x	0.31x
Q3	0.210	0.22	1.720	5.59	0.070	8x	0.33x
Q4	0.510	0.45	1.240	5.39	0.080	2x	0.16x
Q5	0.510	0.46	1.260	5.39	0.090	2x	0.18x
U1	1.180	0.36	58.600	80.79	none	50x	-
U2	0.940	0.23	62.730	80.56	none	67x	-
U3	0.270	0.16	19.020	15.41	none	70x	-
U4	0.360	0.27	26.720	17.08	none	74x	-
U5	0.030	0.07	25.290	21.78	none	843x	-
U6	0.140	0.14	42.890	78.70	none	306x	-
U7	0.070	0.08	0.540	4.96	0.170	8x	2.43x
U8	0.030	0.07	27.590	20.05	none	920x	-
U9	0.560	0.30	27.330	18.61	none	49x	-
